main_category,sub_category,book_id,book_title,book_author,publisher,publish_date,aladin_price,aladin_star,aladin_review,kyobo_price,kyobo_star,kyobo_review,yes24_price,yes24_star,yes24_review,interpark_price,interpark_star,interpark_review
종교,불교,8403497,빅 마인드,데니스 겐포 머젤,정신세계사,2014.11.28,10800,6.0,1,10800,8.8,0,12000,7.6,4,10800,8.0,0
종교,종교일반,16428444,조로아스터교의 역사,메리 보이스,민음사,2020.06.30,25200,9.3,3,25200,10.0,1,28000,10.0,3,25200,10.0,1
종교,기타,12844651,다르게 살고 싶다,박장금,슬로비,2017.12.05,16200,10.0,9,16200,9.3,0,18000,8.6,6,16200,8.0,1
종교,종교일반,5301076,청소년을 위한 세계 종교 여행,김나미,사계절,2008.12.19,11880,9.5,4,11880,10.0,1,13200,9.0,1,11880,0.0,0
종교,기타,18121691,엔젤 앤서 오라클카드 공식 한국판,래들리 밸런타인,한스미디어,2021.03.15,25200,10.0,7,25200,10.0,1,28000,9.6,9,25200,0.0,0
종교,기타,7883717,사는 곳이 운명이다,김승호,쌤앤파커스,2014.08.08,13500,8.2,25,13500,8.7,5,15000,8.2,11,13500,8.6,9
종교,기타,14052141,타로카드 심볼론,리산,동학사,2018.10.10,18000,7.3,3,18000,8.7,0,20000,10.0,1,18000,0.0,0
종교,기타,4601451,웰컴투 지구별,로버트 슈워츠,샨티,2008.06.16,13500,8.4,16,13500,9.8,0,15000,8.3,8,13500,10.0,1
종교,기타,16848522,더 타로 북 하우 투 리드,한연,연원,2020.07.22,18000,10.0,4,18000,8.7,0,20000,6.0,1,18000,0.0,0
종교,기타,4362439,지중해의 성자 다스칼로스,키리아코스C. 마르키데스,정신세계사,2007.12.30,9000,8.5,8,9000,9.8,0,10000,9.0,2,9000,8.0,1
종교,기타,16261923,관상 경영학,김태연,비즈니스북스,2020.02.19,14220,9.4,34,14220,9.4,26,15800,9.6,41,14220,9.1,18
종교,기타,1572374,타로카드 100배 즐기기,레이첼 폴락,물병자리,2005.06.15,14850,7.9,16,14850,9.3,2,16500,8.7,10,14850,8.2,8
종교,기타,198350,왕초보 사주학,박주현,동학사,1995.06.01,15300,7.4,9,15300,9.1,2,17000,7.6,3,15300,6.0,1
종교,기타,18870164,마음 공부에 관하여,초감 트룽파,불광출판사,2021.03.31,15300,9.3,14,15300,9.6,1,17000,9.1,20,15300,8.0,3
종교,기타,6809834,머머의 점성학 강의 노트,박승열,좋은글방,2012.01.20,25200,8.7,8,25200,9.4,2,28000,9.4,3,25200,9.3,3
종교,기타,16745769,공자의 마지막 공부,김승호,다산초당,2020.09.29,14400,8.7,24,14400,8.9,11,16000,9.0,45,14400,9.2,5
종교,기타,20596998,돈과 운을 부르는 색채 명리학,김동완,행성B,2021.06.08,16200,9.3,37,16200,8.1,27,18000,9.3,38,16200,9.4,22
종교,기타,17550936,자연으로 운명을 보다 세트,김민조 이준성,이안애,2020.10.05,22500,10.0,3,22500,10.0,0,25000,10.0,2,22500,0.0,0
종교,기타,12254079,고엔카의 위빳사나 10일 코스,S.N. Goenka,김영사,2017.07.12,10350,8.0,5,10350,9.4,2,11500,8.2,5,10350,0.0,0
종교,기타,16325268,가장 친절한 타로 풀 패키지,Lua,한스미디어,2020.04.09,49500,8.0,1,49500,9.8,1,55000,8.5,2,49500,0.0,0
종교,기타,11723153,타로로 묻고 인문학이 답하다,자연,청어람미디어,2017.02.20,13500,8.5,18,13500,9.9,8,15000,9.4,15,13500,9.6,9
종교,기타,14468456,스님 기도는 어떻게 하는 건가요?,자현,조계종출판사,2019.01.25,15300,10.0,1,15300,9.6,0,17000,9.5,2,15300,0.0,0
종교,기타,30922,사주정설,백영관,명문당,2002.01.05,10800,6.7,10,10800,8.7,2,12000,8.8,9,10800,10.0,1
종교,기타,22034795,굿 카르마 타로 : 타로를 시작하는 이들을 위한 안내서 (타로카드 78장 + 한글 가이드북 + 박스 케이스),케리 워드,한스미디어,2022.02.24,27000,10.0,4,27000,10.0,1,30000,10.0,4,27000,0.0,0
종교,기타,4508362,헤르메스학 입문,프란츠 바르돈,좋은글방,2008.04.04,28800,7.4,6,28800,9.7,2,32000,9.0,11,28800,10.0,1
종교,기타,6313125,신기원의 꼴 관상학,신기원,위즈덤하우스,2010.07.05,9720,9.0,7,9720,10.0,1,10800,8.6,8,9720,8.3,6
종교,기타,13832896,주역 완전해석 세트,장치청,판미동,2018.07.31,43200,9.0,2,43200,10.0,0,48000,10.0,4,43200,8.0,1
종교,기타,7154125,선의 영혼이 깃든 타로,오쇼 라즈니쉬,슈리크리슈나다스아쉬람,2013.01.12,13500,0.0,0,13500,9.3,1,15000,2.0,1,13500,0.0,0
종교,기타,6708937,타로카드 초보탈출,김동완,동학사,2011.08.04,15300,8.4,10,15300,8.7,7,17000,9.4,3,15300,9.3,4
종교,기타,17664271,새로 쓰는 주역강의,서대원,뜻있는도서출판,2021.01.02,28500,10.0,1,27000,9.5,0,30000,8.6,5,27000,0.0,0
종교,기타,6587973,주역계사 강의,남회근,부키,2011.02.26,22500,9.5,9,22500,9.8,0,25000,10.0,2,22500,9.0,3
종교,기타,18869117,주역 입문 강의,고은주,북튜브,2021.04.05,13500,10.0,1,13500,10.0,0,15000,10.0,1,13500,0.0,0
종교,기타,4771900,도마복음 강의,오쇼 라즈니쉬,청아출판사,2008.08.31,31500,8.9,15,31500,10.0,2,35000,9.2,5,31500,10.0,2
종교,기타,4684344,염불 모든 것을 이루는 힘,원영 굉오,불광출판사,2008.07.21,12150,8.0,1,12150,10.0,0,13500,9.4,3,12150,0.0,0
종교,기타,15056147,나이스 사주명리 이론편,맹기옥,상원문화사,2019.06.18,26100,10.0,1,26100,7.7,0,29000,10.0,1,26100,10.0,1
종교,기타,14742383,동물관상으로 사람의 운명을 본다,백재권,답게,2019.04.27,18000,10.0,1,18000,9.1,9,20000,10.0,2,18000,0.0,0
종교,기타,16629510,초인생활 2,베어드 T. 스폴딩,정신세계사,2020.08.28,16200,10.0,4,16200,9.8,1,18000,9.7,3,16200,0.0,0
종교,기타,8403497,빅 마인드,데니스 겐포 머젤,정신세계사,2014.11.28,10800,6.0,1,10800,8.8,0,12000,7.6,4,10800,8.0,0
종교,기타,16389846,내 인생의 주역,김주란 박장금 신혜정 안상헌 오창희,북드라망,2020.06.25,17100,9.7,7,17100,9.4,0,19000,10.0,1,17100,0.0,0
종교,기타,10382016,새벽에 혼자 읽는 주역인문학,김승호,다산북스,2016.03.23,13500,7.7,15,13500,9.1,8,15000,8.9,23,13500,8.5,13
종교,기타,17799449,고엔카의 위빳사나 명상2,버지니아 해밀턴,김영사,2021.01.13,11700,9.3,6,11700,9.6,2,13000,9.6,4,11700,9.5,4
종교,기타,13439761,아무것도 남기지 않기,아잔 브라흐마,불광출판사,2018.03.21,18000,9.0,10,18000,9.6,1,20000,9.5,6,18000,10.0,0
종교,기타,13078741,럭키 타로북,레이철 폴락,재미주의,2017.12.26,18000,8.2,24,18000,8.8,0,20000,8.3,4,18000,0.0,0
종교,기타,16371318,실버 버치의 가르침,실버 버치,정신세계사,2020.05.29,14850,10.0,1,14850,8.8,1,16500,10.0,1,14850,0.0,0
종교,기타,4362483,지중해의 성자 다스칼로스,키리아코스C. 마르키데스,정신세계사,2007.12.30,9000,8.0,3,9000,9.9,0,10000,10.0,2,9000,8.0,0
종교,기타,7158630,선심초심,스즈키 순류,김영사,2013.02.28,11700,9.6,5,11700,8.8,1,13000,9.3,4,11700,10.0,1
종교,기타,16301247,사성제,일묵,불광출판사,2020.03.24,22500,8.4,5,22500,9.2,1,25000,10.0,3,22500,0.0,0
종교,기타,20660748,합충변화,최제현,지식과감성,2021.06.17,22500,9.0,8,22500,8.8,5,25000,9.7,6,22500,0.0,0
종교,기타,12542770,운명의 해석 사주명리,안도균,북드라망,2017.09.15,17100,10.0,3,17100,9.5,0,19000,7.6,3,17100,0.0,0
종교,기타,15766788,가장 친절한 타로,Lua,한스미디어,2019.11.19,19800,0.0,0,19800,9.8,1,22000,8.0,1,19800,0.0,0
종교,기타,6062973,트랜서핑 타로카드,바딤 젤란드,정신세계사,2009.08.26,34200,8.6,13,34200,9.5,1,38000,8.3,11,34200,8.7,5
종교,기타,21344043,신의 비밀 징조,김승호,쌤앤파커스,2021.12.15,14400,8.6,16,14400,8.5,12,16000,9.2,27,14400,10.0,4
종교,기타,6722357,네빌고다드 5일간의 강의,네빌 고다드,서른세개의 계단,2011.08.30,11250,9.7,6,11250,9.7,2,12500,9.1,8,11250,9.5,4
종교,기타,6921046,람타 현실 창조를 위한 입문서,람타,아이커넥,2012.05.01,18000,9.5,4,18000,8.8,2,20000,9.0,5,18000,8.7,3
종교,기타,7177131,돈보다 운을 벌어라,김승호,쌤앤파커스,2013.04.09,12600,8.2,46,12600,9.2,9,14000,8.8,45,12600,7.9,27
종교,기타,15768840,가장 친절한 타로 웨이트 카드 세트,Lua,한스미디어,2019.11.19,29700,9.0,6,29700,8.4,1,33000,9.4,25,29700,10.0,1
종교,기타,102491,탈무드,마빈 토카이어,인디북,2001.03.05,8100,8.6,77,8100,9.2,14,9000,8.7,50,8100,8.8,20
종교,기타,16270453,명리심리학,양창순,다산북스,2020.02.25,14400,7.8,24,14400,9.2,8,16000,9.2,71,14400,9.0,1
종교,기타,11491620,명리 운명을 조율하다,강헌,돌베개,2016.12.30,18000,9.0,12,18000,9.5,1,20000,8.8,13,18000,10.0,3
종교,기타,6333624,기도,법륜,정토출판,2010.07.21,7650,9.6,56,7650,9.9,6,8500,9.3,19,7650,9.6,19
종교,기타,15511051,바가바드 기타,정창영,무지개다리너머,2019.09.25,13500,9.2,8,13500,10.0,1,15000,8.6,4,13500,10.0,2
종교,기타,6990320,나의 운명 사용설명서,고미숙,북드라망,2012.08.22,11700,8.6,74,11700,9.4,6,13000,8.1,34,11700,8.9,16
종교,기타,7010932,사람이 보인다! 관상백과,한국관상학연구회,움터미디어,2012.09.10,1980,6.7,3,1980,8.1,5,2200,7.6,9,1980,9.3,3
종교,종교일반,122645,영원회귀의 신화,미르치아 엘리아데,이학사,2003.04.25,9000,8.5,4,9000,10.0,1,10000,8.5,2,9000,10.0,1
종교,종교일반,11794542,사랑 사용법,맷 칸,정신세계사,2017.03.17,13500,10.0,3,13500,9.7,0,15000,10.0,1,13500,0.0,0
종교,종교일반,11252849,특강 종교개혁사,황희상,흑곰북스,2016.10.31,22500,9.5,16,22500,9.8,2,25000,9.8,12,22500,9.5,4
종교,종교일반,26344,언제까지나 나는 꿈꾸는 청년이고 싶다,류태영,국민일보,2000.12.01,9000,9.0,5,9000,10.0,4,10000,9.0,6,9000,9.5,7
종교,종교일반,108514,참으로 신실하게,이재철,홍성사,2002.05.17,9000,9.8,10,9000,10.0,5,10000,9.0,16,9000,10.0,3
종교,종교일반,11514873,Joy쌤의 누구나 쉽게 치는 CCM 피아노 2,조희순,삼호뮤직,2016.12.31,7200,0.0,0,7200,9.7,0,8000,10.0,2,7200,10.0,1
종교,종교일반,14743432,헤븐피아노 실전 반주악보 4,김선희,분명한소리,2019.04.08,18900,0.0,0,18900,9.8,0,21000,10.0,1,18900,0.0,0
종교,종교일반,6336929,우주가 사라지다,개리 레너드,정신세계사,2010.08.10,19800,8.0,16,19800,9.8,3,15400,6.3,3,19800,10.0,3
종교,기타,9947707,명리,강헌,돌베개,2015.12.14,14400,9.0,43,14400,9.2,1,16000,9.0,48,14400,9.0,20
종교,종교일반,7642106,돈 후앙의 가르침,카를로스 카스타네다,정신세계사,2014.05.30,13500,9.0,3,13500,8.8,0,15000,10.0,1,13500,10.0,1
종교,기타,7390267,현존수업,마이클 브라운,정신세계사,2013.12.20,13500,9.3,9,13500,9.9,1,15000,10.0,4,13500,9.0,1
종교,기타,12119992,타로카드 입문서 THE TAROT BOOK - for Apprentice,한연,연원,2017.03.27,27000,7.9,16,27000,9.6,3,30000,9.6,5,27000,0.0,0
종교,기타,16629508,초인생활,베어드 T. 스폴딩,정신세계사,2020.08.25,25200,8.4,5,25200,9.1,2,28000,7.3,3,25200,0.0,0
종교,기타,17583515,조용헌의 영지순례,조용헌,불광출판사,2020.12.10,22500,8.9,16,22500,9.0,1,25000,9.8,24,22500,9.5,12
종교,기타,7529111,조용헌의 사주명리학 이야기,조용헌,알에이치코리아,2014.04.22,15300,8.5,35,15300,9.0,14,17000,8.8,34,15300,9.3,21
종교,기타,17851700,문올로지 오라클카드 공식 한국판,야스민 볼런드,한스미디어,2021.01.25,25200,8.7,12,25200,9.7,1,28000,9.7,12,25200,10.0,1
종교,기타,9488670,운 준비하는 미래,이서윤,이다미디어,2015.08.27,12150,9.4,139,12150,9.1,11,13500,8.6,27,12150,9.0,19
종교,기타,7385011,현장에서 필요한 실전타로,리산,동학사,2013.12.10,19800,8.8,16,19800,9.5,2,22000,10.0,5,19800,0.0,0
종교,기타,16491159,피클 일주론 사주명리학의 꽃,조재렬,책과나무,2020.08.15,45000,10.0,4,45000,9.0,1,50000,8.9,8,45000,0.0,0
종교,기타,55081,컴퓨터 만세력,김상연,갑을당,2007.11.08,20700,8.4,5,20700,10.0,0,23000,8.3,3,20700,0.0,0
종교,기타,14013211,정신과 의사의 체험으로 보는 사마타와 위빠사나,전현수,불광출판사,2018.09.07,15300,10.0,2,15300,9.4,1,17000,10.0,1,15300,0.0,0
